label,text
ham,"Hey Alex, can you review the quarterly dashboard before 4 PM?"
spam,"Congratulations! You have won a free iPhone. Click now to claim it."
ham,"Your interview is confirmed for Thursday at 11:00 AM."
spam,"Urgent: verify your bank account immediately to avoid suspension."
ham,"Lunch at the cafe near the office sounds good for tomorrow."
spam,"Limited-time crypto opportunity. Double your investment today."
ham,"Please find the attached invoice for your web design project."
spam,"Reset your password now using this unofficial secure link."
ham,"The engineering stand-up has moved to 10:30 this morning."
spam,"You were selected for a secret shopper role. Earn $500 daily."
ham,"Can you send me the final brand assets when you have a minute?"
spam,"Final notice: your mailbox storage is full. Confirm credentials now."
ham,"Your package will arrive between 2 PM and 5 PM today."
spam,"Act fast! Claim your lottery payout before midnight tonight."
ham,"Let us reschedule the customer demo to next Wednesday."
spam,"Security alert: suspicious login. Enter your account password here."
ham,"Thanks for your order. Your receipt is included below."
spam,"Exclusive offer: get premium antivirus for free by entering card details."
ham,"The sprint retrospective document has been updated with notes."
spam,"Dear user, click this link to unlock your tax refund instantly."
ham,"Reminder: submit your PTO request before Friday afternoon."
spam,"Your CEO needs an urgent gift card purchase right away."
ham,"Boarding pass for your flight to Austin is now available."
spam,"We detected fraudulent activity. Confirm your SSN to restore access."
ham,"Meeting room B is reserved for the product workshop."
spam,"Claim your free vacation package by responding with your bank PIN."
ham,"Please review the bug report and leave comments in Jira."
spam,"This is your final chance to receive an inherited fortune."
ham,"Happy birthday! Hope you have a great day with the family."
spam,"Your account has been compromised. Download this attachment to secure it."
ham,"The API keys were rotated successfully after the maintenance window."
spam,"Win big now. No risk, guaranteed income, instant approval."
